121-1/16,689,3.62,26.69,-25.42
121-4/16,689,2.66,26.09,-23.47
121-11/16,689,3.14,26.79,-30.4
121-14/16,650,2.98,26.66,-26.41
121-17/16,590,2.48,27.14,-23.57
121-17/16,590,2.48,27.14,-28.06
121-19/16,581,2.58,26.26,-22.71
121-19/16,581,2.58,26.26,-29
121-27/16,581,2.45,26.94,-24.77
121-38/16,600,1.5,24.6,-22.66
121-43/16,600,1.3,25.4,-25.93
122-3/16,600,2.08,26.52,-22.5
121-10/18,600,1.69,26.66,-25.12
121-7/18,600,2.59,26.85,-26.01
121-8L/18,600,2.13,25.92,-23.61
121-15/18,600,2.89,26.12,-25.82
121-13/18,600,2.21,25.89,-22.8
121-13/18,600,2.21,25.89,-26.76
121-13/18,600,2.21,25.89,-24.96
121-7/16,689,3.41,26.46,-25.26
121-4/16,689,2.66,26.09,-25.74
121-4/16,689,2.66,26.09,-26
121-12/18,600,2.33,25.81,-26.6
121-1/18,590,3.37,26.77,-25.37
121-1/18,590,3.37,26.77,-24.82
121-1/18,590,3.37,26.77,-24.38
121-16/18,600,2.69,26.22,-26.37
121-15/18,600,2.89,26.12,-23.34
122-6/16,600,2.21,26.05,-29.37
122-6/16,600,2.21,26.05,-27.43
122-6/16,600,2.21,26.05,-27.8
121-14/96,581,1.8,25.9,-30.2
121-21/96,581,3.4,26.2,-26.81
121-10/16,689,3.49,23.4,-28.75
121-2/16,689,2.79,26.37,-29.07
121-1-10/90,581,3.5,26.3,-30.24
121-7/16,689,3.41,26.46,-32.6
121-9/16,689,3.46,25.94,-27.27
121-1/18,590,3.37,26.77,-22.52
121-1/18,590,3.37,26.77,-24.65
121-1/18,590,3.37,26.77,-25.22
15-10-7,586,2.38,28.54,-26.8
15-10-7,586,2.38,28.54,-27.9
111A-1/19,646,3.24,26.81,-27
111A-1/19,646,3.24,26.81,-26.46
111A-2/19,646,3,26.5,-26.15
111A-2/19,646,3,26.5,-27.7
111A-4/19,646,2.86,25.72,-26.51
111A-5/19,646,2.08,26.82,-26.22
111A-6/19,590,2.96,26.58,-27.88
111-7/19,600,1.6,25.31,-24.63
KV3-13/19,699,6.01,26.12,-26.4
111-8/19,600,1.63,22.08,-25
111-8/19,600,1.63,22.08,-24.54
111A-3/19,646,2.56,27.47,-27.55
15-8-5,581,3.43,27.07,-26.45
15-5-1,721,3.53,23.78,-25.6
KV3-9/19,699,4.47,25.52,-29.36
KV4-9-5/19,699,5.45,26.94,-27.3
15-7-5,581,3.88,27.28,-25.56
15-5-9,646,3.87,27.42,-26.83
15-5-12,590,4.01,26.27,-26
15-5-10,646,3.57,29.06,-28.38
15-5-4,690,3.89,27.47,-26.74
15-8-21,586,3.66,27.31,-25.9
Iz31/8,800,0.58,25.21,-26.88
Iz31/26,800,1.43,26.3,-27
Iz31/23,800,1.52,26.17,-27.18
Iz31/9,800,-0.44,24.71,-28.34
Iz31/17,800,0.27,25.45,-27.9
Iz31/7,800,1.72,26.56,-26.58
Iz31/3,800,1.04,24.93,-25.7
15-6-2,586,3.75,26.82,-27.33
15-7-6,581,2.9,25.51,-26.3
15-7-6,581,2.9,25.51,-24.71
121-26/16,600,0.51,24.29,-26.41
121-34/16,586,0.5,23.47,-29.00
101-5/16,640,3.1,24.21,-24.10
101-6/16,640,3.57,25.19,-25.85
101-3/16,640,3.11,26.37,-24.35
