3.2,15-5-1,praesulcata,-25.6,Polygnathus communis communis,3.53,23.78
17.5,15-7-6,sulcata,-26.3,Hindeodus crassidentatus,2.9,25.51
17.5,15-7-6,sulcata,-24.71,Polygnathus communis communis,2.9,25.51
18.7,15-8-5,sulcata,-26.45,Polygnathus communis communis,3.43,27.07
36.1,15-10-7,L.duplicata,-26.8,Polygnathus communis communis,2.38,28.54
36.1,15-10-7,L.duplicata,-27.9,Siphonodella sulcata,2.38,28.54
17.2,15-7-5,sulcata,-25.56,Polygnathus communis communis,3.88,27.28
10.3,15-5-9,praesulcata,-26.83,Polygnathus communis communis,3.87,27.42
12.9,15-5-12,sulcata,-26,Polygnathus communis,4.01,26.27
11.3,15-5-10,praesulcata,-28.38,Polygnathus communis dentatus,3.57,29.06
26.4,15-8-21,sulcata,-25.9,Polygnathus communis communis,3.66,27.31
14.0,15-6-2,sulcata,-27.33,Polygnathus communis communis,3.75,26.82
